"연번","단지명","소재지","어린이놀이터 개소"
"1","벽산라이브파크","강북구 미아1동 1354","5"
"2","벽산라이브파크(임대)","강북구 미아1동 1354-1","2"
"3","경남아너스빌2","강북구 미아2동 796","1"
"4","삼성래미안","강북구 미아2동 797","2"
"5","SH-Ville(임대)","강북구 미아2동 797-8","1"
"6","미아현대","강북구 미아3동 190-2","1"
"7","한일아파트","강북구 미아3동 258-732","1"
"8","미아신구","강북구 미아3동 1352","1"
"9","신일해피트리","강북구 미아3동 1358","1"
"10","미아요진","강북구 미아3동 152","1"
"11","경남아너스빌","강북구 미아4동 1356","2"
"12","한일UNI","강북구 미아4동 1355","2"
"13","동부센트레빌","강북구 미아5동 474","1"
"14","현대성우 (주상복합)","강북구 미아5동 561-2","1"
"15","삼각산아이원","강북구 미아동 1357","5"
"16","삼각산아이원(임대)","강북구미아동 1357-2","2"
"17","SK북한산시티","강북구 미아7동 1353","13"
"18","SK북한산시티(임대)","강북구 미아7동 1353-1","3"
"19","번동삼성","강북구 번1동 470-1","1"
"20","번동쌍용","강북구 번1동 459-110","1"
"21","번동주공 제5단지\n(영구임대)","강북구 번2동 230","4"
"22","번동주공 제4단지","강북구 번2동 234","3"
"23","번동주공 제3단지\n(영구임대)","강북구 번3동 237","2"
"24","번동주공 제2단지\n(영구임대)","강북구 번3동 241","4"
"25","번동주공 제1단지","강북구 번3동 242","6"
"26","오동현대홈타운","강북구 번2동 760","1"
"27","금호어울림","강북구 번2동 656","1"
"28","훼미리힐","강북구 번2동 148-490","1"
"29","수유역두산위브1차","강북구 번동 410","2"
"30","해모로","강북구 번3동 139","2"
"31","번동솔그린","강북구 번3동 136","1"
"32","번동한양","강북구 번3동 133-1","1"
"33","번동한솔아파트","강북구 번3동 138","1"
"34","기산그린","강북구 번3동 191","1"
"35","번동한진","강북구 번3동 658","2"
"36","번동동문","강북구 번3동 657","1"
"37","번동신원","강북구 번3동 204","1"
"38","번동현대","강북구 번3동 148-494","1"
"39","수유현대","강북구 수유2동 729","1"
"40","수유삼성","강북구 수유2동 730","2"
"41","수유삼성(임대)","강북구 수유2동 730","1"
"42","수유벽산","강북구 수유2동 205","3"
"43","수유벽산 201동","강북구 수유2동 648","1"
"44","수유극동","강북구 수유6동 553-61","2"
"45","우이성원","강북구 우이동 1","1"
"46","북한산굿모닝","강북구 우이동 175","1"
"47","우이대우","강북구 우이동 342","2"
"48","래미안 트리베라1차","강북구 삼각산동 813","3"
"49","래미안 트리베라2차","강북구 삼각산동 812","4"
"50","송천 센트레빌","강북구 송천동 461","1"
"51","두산위브트래지움","강북구 미아동 811","4"
"52","이너스내안에","강북구 미아동 1361","1"
